  TRIG, THRES, RESET,   OUT
  3.04,  0.00,  4.99,  5.00
  3.05,  0.00,  5.00,  4.99
  3.08,  0.00,  5.00,  5.00
  3.10,  0.00,  4.99,  5.00
  3.12,  0.00,  5.00,  5.00
  3.14,  0.00,  5.00,  5.00
  3.16,  0.00,  5.00,  5.00
  3.17,  0.00,  5.00,  5.00
  3.20,  0.00,  5.00,  5.00
  3.22,  0.00,  5.00,  5.00
  3.24,  0.00,  5.00,  5.00
  3.26,  0.00,  4.99,  5.00
  3.27,  0.00,  5.00,  5.00
  3.30,  0.00,  5.00,  5.00
  3.31,  0.00,  5.00,  5.00
  3.34,  0.00,  5.00,  5.00
  3.35,  0.00,  5.00,  5.00
  3.37,  0.00,  5.00,  5.00
  3.39,  0.00,  5.00,  5.00
  3.42,  0.00,  5.00,  5.00
  3.43,  0.00,  5.00,  5.00
  3.45,  0.00,  5.00,  5.00
  3.47,  0.00,  5.00,  5.00
  3.48,  0.00,  5.00,  5.00
  3.50,  0.00,  5.00,  5.00
  3.53,  0.00,  5.00,  5.00
  3.55,  0.00,  5.00,  5.00
  3.56,  0.00,  5.00,  4.99
  3.59,  0.00,  5.00,  5.00
  3.61,  0.00,  5.00,  5.00
  3.62,  0.00,  5.00,  5.00
  3.65,  0.00,  5.00,  5.00
  3.66,  0.00,  5.00,  5.00
  3.69,  0.00,  5.00,  5.00
  3.70,  0.00,  5.00,  5.00
  3.72,  0.00,  5.00,  4.99
  3.74,  0.00,  5.00,  5.00
  3.76,  0.00,  5.00,  5.00
  3.79,  0.00,  5.00,  5.00
  3.81,  0.00,  5.00,  5.00
  3.82,  0.00,  5.00,  5.00
  3.84,  0.00,  4.99,  5.00
  3.86,  0.00,  5.00,  5.00
  3.88,  0.00,  5.00,  4.99
  3.90,  0.00,  5.00,  5.00
  3.91,  0.00,  5.00,  5.00
  3.94,  0.00,  5.00,  5.00
  3.96,  0.00,  5.00,  4.99
  3.98,  0.00,  5.00,  4.99
  3.99,  0.00,  5.00,  5.00
  4.01,  0.00,  5.00,  5.00
  4.03,  0.00,  5.00,  5.00
  4.05,  0.00,  5.00,  5.00
  4.08,  0.00,  4.99,  5.00
  4.10,  0.00,  5.00,  5.00
  4.11,  0.00,  5.00,  5.00
  4.12,  0.00,  5.00,  5.00
  4.14,  0.00,  5.00,  5.00
  4.17,  0.00,  5.00,  5.00
  4.19,  0.00,  5.00,  5.00
  4.21,  0.00,  5.00,  5.00
  4.22,  0.00,  5.00,  5.00
  4.25,  0.00,  5.00,  5.00
  4.27,  0.00,  5.00,  5.00
  4.29,  0.00,  5.00,  5.00
  4.31,  0.00,  5.00,  4.99
  4.33,  0.00,  5.00,  5.00
  4.34,  0.00,  5.00,  5.00
  4.36,  0.00,  5.00,  5.00
  4.38,  0.00,  5.00,  5.00
  4.40,  0.00,  5.00,  4.99
  4.42,  0.00,  5.00,  5.00
  4.44,  0.00,  5.00,  5.00
  4.46,  0.00,  5.00,  5.00
  4.48,  0.00,  5.00,  5.00
  4.51,  0.00,  5.00,  5.00
  4.52,  0.00,  5.00,  5.00
  4.53,  0.00,  5.00,  5.00
  4.56,  0.00,  5.00,  5.00
  4.58,  0.00,  5.00,  5.00
  4.60,  0.00,  5.00,  5.00
  4.61,  0.00,  5.00,  5.00
  4.64,  0.00,  5.00,  5.00
  4.66,  0.00,  5.00,  5.00
  4.68,  0.00,  5.00,  5.00
  4.70,  0.00,  5.00,  5.00
  4.72,  0.00,  5.00,  5.00
  4.73,  0.00,  5.00,  5.00
  4.76,  0.00,  5.00,  5.00
  4.78,  0.00,  5.00,  5.00
  4.80,  0.00,  5.00,  5.00
  4.81,  0.00,  5.00,  5.00
  4.83,  0.00,  5.00,  4.99
  4.85,  0.00,  5.00,  5.00
  4.87,  0.00,  5.00,  4.99
  4.89,  0.00,  5.00,  5.00
  4.92,  0.00,  5.00,  5.00
  4.93,  0.00,  5.00,  5.00
  4.96,  0.00,  5.00,  5.00
  4.97,  0.00,  5.00,  5.00
